G3_Anchor,Lineage,BuddyID,ChildScreenName
0,WSAZToriY,WSAZToriY:WSAZfabrizio,19495594,WSAZfabrizio
0,cstevenson7,cstevenson7:PrestonTVNews,599110041,PrestonTVNews
1,cstevenson7,cstevenson7:WSAZfabrizio,19495594,WSAZfabrizio
2,cstevenson7,cstevenson7:edokeefe,16930125,edokeefe
0,buisnick,buisnick:AlecMacGillis,436925910,AlecMacGillis
0,kemettler,kemettler:USOWomen,4795344505,USOWomen
1,kemettler,kemettler:gregpmiller,242907470,gregpmiller
2,kemettler,kemettler:jessicabennett,18149142,jessicabennett
3,kemettler,kemettler:IWF,16667912,IWF
0,newsroomkimarie,newsroomkimarie:robodellaz,1729936105,robodellaz
0,erob1,erob1:arb,16444936,arb
1,erob1,erob1:robodellaz,1729936105,robodellaz
0,robbiedime,robbiedime:kemettler,243020048,kemettler
1,robbiedime,robbiedime:IWF,16667912,IWF
0,willdizard,willdizard:DaniNierenberg,33098495,DaniNierenberg
1,willdizard,willdizard:PrestonTVNews,599110041,PrestonTVNews
2,willdizard,willdizard:yasserashour95,355890958,yasserashour95
3,willdizard,willdizard:Pri_Borpujari,1107443437,Pri_Borpujari
0,karavoght,karavoght:MarcFaletti,24400463,MarcFaletti
1,karavoght,karavoght:MariahCBlake,454098126,MariahCBlake
2,karavoght,karavoght:DavidCornDC,15220768,DavidCornDC
3,karavoght,karavoght:KelseyProud,15504419,KelseyProud
0,_waleedshahid,_waleedshahid:timmcdonnell,239931382,timmcdonnell
0,JasmineCC_95,JasmineCC_95:pgohare,2795019801,pgohare
1,JasmineCC_95,JasmineCC_95:chrissahardy,385570301,chrissahardy
0,fifimellersh,fifimellersh:NickHurdUK,144929619,NickHurdUK
1,fifimellersh,fifimellersh:CharlieElphicke,54515428,CharlieElphicke
2,fifimellersh,fifimellersh:georgeeaton,20668369,georgeeaton
3,fifimellersh,fifimellersh:LOS_Fisher,412978698,LOS_Fisher
0,kieranmitton,kieranmitton:steven_metz,114565156,steven_metz
0,DerekIsntFunny,DerekIsntFunny:trendhunter,8343832,trendhunter
0,Cian242,Cian242:trendhunter,8343832,trendhunter
0,ambermac,ambermac:AaronOrendorff,754272146,AaronOrendorff
0,ryandrjweaver,ryandrjweaver:DaniNierenberg,33098495,DaniNierenberg
1,ryandrjweaver,ryandrjweaver:kawarthanews,37715809,kawarthanews
2,ryandrjweaver,ryandrjweaver:dscofield,18507464,dscofield
0,Stevenjturner,Stevenjturner:ByEichler,1046659700,ByEichler
0,G_Polychronis,G_Polychronis:ByEichler,1046659700,ByEichler
1,G_Polychronis,G_Polychronis:bykemp,240968515,bykemp
0,LukeLPearson,LukeLPearson:dizzy259,491581948,dizzy259
0,mllenicolakelly,mllenicolakelly:DaniNierenberg,33098495,DaniNierenberg
1,mllenicolakelly,mllenicolakelly:MrRobertNisbet,16591979,MrRobertNisbet
2,mllenicolakelly,mllenicolakelly:ramitanavai,257078684,ramitanavai
3,mllenicolakelly,mllenicolakelly:VinnyMcAv,70991021,VinnyMcAv
0,PaulineVerheij,PaulineVerheij:BenjaminWiacek,126143100,BenjaminWiacek
1,PaulineVerheij,PaulineVerheij:UNDPNorway,756895303,UNDPNorway
0,OIL_MEN,OIL_MEN:annecha,21748137,annecha
0,JulieLandryy,JulieLandryy:BenjaminWiacek,126143100,BenjaminWiacek
0,cat42758,cat42758:ifindkarma,1688,ifindkarma
0,jonbirger1,jonbirger1:LaurenYoung,19785281,LaurenYoung
1,jonbirger1,jonbirger1:CharlotteAlter,774510134,CharlotteAlter
0,gregmortenson,gregmortenson:DaniNierenberg,33098495,DaniNierenberg
1,gregmortenson,gregmortenson:afiasalam,51338718,afiasalam
2,gregmortenson,gregmortenson:sanaejaz2,604259624,sanaejaz2
3,gregmortenson,gregmortenson:Camfed,23519852,Camfed
0,KirstenHaglund,KirstenHaglund:MaryEmilyOHara,1077017899,MaryEmilyOHara
0,LucyENichol,LucyENichol:georgeeaton,20668369,georgeeaton
0,PaulMason2,PaulMason2:sduvall07,535820788,sduvall07
1,PaulMason2,PaulMason2:NahanniFontaine,2946792636,NahanniFontaine
0,elly_barnes,elly_barnes:IWF,16667912,IWF
0,EducateCelebrat,EducateCelebrat:Lyd_Carolina,508838775,Lyd_Carolina
1,EducateCelebrat,EducateCelebrat:switchboardLGBT,19642497,switchboardLGBT
0,rudilouistaylor,rudilouistaylor:MartinGHodgson,299613007,MartinGHodgson
1,rudilouistaylor,rudilouistaylor:IndigenousX,172652106,IndigenousX
0,NaomiWolfeAU,NaomiWolfeAU:MartinGHodgson,299613007,MartinGHodgson
1,NaomiWolfeAU,NaomiWolfeAU:IndigenousX,172652106,IndigenousX
0,MartinGHodgson,MartinGHodgson:ninaspringle,15955970,ninaspringle
0,Bunbajee,Bunbajee:MartinGHodgson,299613007,MartinGHodgson
1,Bunbajee,Bunbajee:IndigenousX,172652106,IndigenousX
0,terauds_d,terauds_d:ninaspringle,15955970,ninaspringle
0,AliceMulheron,AliceMulheron:sclark_melbs,35362720,sclark_melbs
